ID,Приоритет,Согласие,Сумма баллов,Баллы за ВИ,Баллы за ИД,Статус,Дата
3736987,3,-,57,Напр (ВИ): 57,,На рассмотрении,2025-06-21 08:54:16
3885070,6,Бумажный,110,Напр (ВИ): 100,10,На рассмотрении,2025-06-27 22:02:24
